config_id,mean_interarrival_normal,mean_interarrival_peak,replication,seed,base_total_customers,extra_total_customers,base_delayed_percentage,extra_delayed_percentage,delayed_percentage_improvement,base_average_wait,extra_average_wait,average_wait_improvement,base_max_wait,extra_max_wait,max_wait_improvement,base_average_queue_length,extra_average_queue_length,average_queue_length_improvement,extra_employee_utilization
arrival_normal_5_peak_2_5,5.0,2.5,1,1,165,165,33.93939393939394,4.848484848484849,29.09090909090909,4.07267358786229,0.8743276299320951,3.1983459579301954,19.429605200238356,10.809322365656726,8.62028283458163,1.0181683969655726,0.21858190748302378,0.7995864894825488,0.20944977611791699
arrival_normal_5_peak_2_5,5.0,2.5,2,2,175,175,45.142857142857146,5.142857142857143,40.0,8.665798004603575,1.298383149350278,7.367414855253297,38.189782089182586,12.069998898848723,26.119783190333862,2.2977494709176143,0.3442682592974222,1.953481211620192,0.22495713893650227
arrival_normal_5_peak_2_5,5.0,2.5,3,3,189,189,66.66666666666667,10.582010582010582,56.08465608465609,10.644454407642417,1.5147776533077364,9.129676754334682,36.97111842052561,9.31818499539554,27.652933425130072,3.0481846712794183,0.433777237083579,2.614407434195839,0.23108834810273185
arrival_normal_5_peak_2_5,5.0,2.5,4,4,215,215,64.65116279069767,27.906976744186046,36.74418604651162,13.54948879461312,3.5210202077205057,10.028468586892615,51.66630468668896,18.604539644065255,33.061765042623705,4.413031815700659,1.1461822002735231,3.266849615427136,0.2434192639627878
arrival_normal_5_peak_2_5,5.0,2.5,5,5,172,172,52.906976744186046,4.069767441860465,48.83720930232558,8.441603090939283,1.0080672440943361,7.433535846844947,36.94075407542178,7.607243832892806,29.333510242528973,2.199932926729632,0.26270843330943305,1.937224493420199,0.24327362092198965
arrival_normal_5_peak_2_5,5.0,2.5,6,6,185,185,50.810810810810814,7.5675675675675675,43.24324324324325,9.08393112139462,1.2934776699298047,7.790453451464815,33.174433809684956,8.413481428992668,24.760952380692288,2.5462534203909164,0.36256571051062714,2.183687709880289,0.23594283159749754
arrival_normal_5_peak_2_5,5.0,2.5,7,7,143,143,32.16783216783217,0.0,32.16783216783217,3.8545789421005257,0.3830838937634593,3.4714950483370663,19.959240300031638,4.768537334100529,15.19070296593111,0.8351587707884472,0.08300151031541618,0.7521572604730311,0.16640584325647043
arrival_normal_5_peak_2_5,5.0,2.5,8,8,185,185,34.054054054054056,21.62162162162162,12.432432432432435,4.23777125830304,2.698592995432125,1.539178262870915,21.43483191139873,18.50067968089283,2.9341522305059016,1.1710851707398917,0.7396488394806194,0.4314363312592723,0.14252035973304766
arrival_normal_5_peak_2_5,5.0,2.5,9,9,177,177,29.943502824858758,1.694915254237288,28.24858757062147,3.7925163167959326,0.8665324122577991,2.9259839045381337,19.52126239120878,6.065844074794825,13.455418316413954,1.0170839213225455,0.2323882378327734,0.7846956834897721,0.2010116308937343
arrival_normal_5_peak_2_5,5.0,2.5,10,10,223,223,69.95515695067265,26.457399103139014,43.497757847533634,20.08534478070351,3.0128140758404682,17.072530704863045,55.643159579660846,13.64200115409028,42.001158425570566,6.467261041187267,1.0008734845996106,5.466387556587656,0.2914199928396465
